sample N.reads
L_10 796420
L_11 976671
L_12 914665
L_13 692854
L_14 381397
L_15 976271
L_16 223378
L_17 942533
L_18 922235
L_19 809694
L_1 995337
L_20 932844
L_21 811581
L_22 641665
L_23 628225
L_24 785146
L_25 844973
L_26 1033461
L_27 1045022
L_28 854272
L_29 960685
L_30 903177
L_31 1023481
L_32 1045252
L_33 975576
L_34 778476
L_35 727370
L_36 1043055
L_37 1021964
L_38 989894
L_39 677488
L_3 1006287
L_40 929596
L_41 811219
L_42 763105
L_43 1020609
L_4 872473
L_5 963684
L_6 791201
L_7 779984
L_8 853017
L_9 675131
L_RTPa 793651
L_RTPb 802179
L_RTPc 846091
L_RTPd 794536
L_RTPe 738036
R_1A_05 850937
R_1A_10 851008
R_1A_20 975785
R_1A_50 862242
R_1B_05 1105086
R_1B_10 864177
R_1B_20 809738
R_1B_50 1466379
R_1C_05 792049
R_1C_10 690054
R_1C_20 747723
R_1C_50 719595
R_1D_05 683966
R_1D_10 725258
R_1D_20 767898
R_1D_50 1523847
R_1E_05 680200
R_1E_10 1029117
R_1E_20 664654
R_1E_50 995343
R_2A_05 736857
R_2A_10 791144
R_2A_20 1084601
R_2A_50 908490
R_2B_05 748616
R_2B_10 701674
R_2B_20 729347
R_2B_50 1089555
R_2C_05 629600
R_2C_10 740394
R_2C_20 762876
R_2C_50 895060
R_2D_05 716418
R_2D_10 786569
R_2D_20 800029
R_2D_50 787115
R_2E_05 697469
R_2E_10 826765
R_2E_20 1003884
R_2E_50 678172
R_3A_05 782180
R_3A_10 692085
R_3A_20 639462
R_3A_50 739275
R_3B_05 766325
R_3B_10 655408
R_3B_20 733052
R_3B_50 744545
R_3C_05 657699
R_3C_10 681198
R_3C_20 671360
R_3C_50 894681
R_3D_05 712677
R_3D_10 666565
R_3D_20 911789
R_3D_50 872247
R_3E_05 810450
R_3E_10 941955
R_3E_20 959284
R_3E_50 867806
R_4A_05 680544
R_4A_10 675150
R_4A_20 801131
R_4A_50 660018
R_4B_05 701255
R_4B_10 735817
R_4B_20 646196
R_4B_50 777424
R_4C_05 638699
R_4C_10 650293
R_4C_20 841376
R_4C_50 896660
R_4D_05 821466
R_4D_10 676181
R_4D_20 904941
R_4D_50 1132705
R_4E_05 687016
R_4E_10 657823
R_4E_20 806350
R_4E_50 133584
R_5A_05 707985
R_5A_10 871865
R_5A_20 838698
R_5A_50 841781
R_5B_05 723602
R_5B_10 743053
R_5B_20 665297
R_5B_50 842692
R_5C_05 745832
R_5C_10 637253
R_5C_20 667347
R_5C_50 1173766
R_5D_05 849464
R_5D_10 671277
R_5D_20 677128
R_5D_50 809752
R_5E_05 697607
R_5E_10 632597
R_5E_20 718348
R_5E_50 900417
